flight_id date hour runway
221002VKG803 221002 03 01R
221002VLG92WY 221002 08 01R
221002WIF144 221002 09 01R
221002WIF17B 221002 12 01R
221002WIF337 221002 15 01L
221002WIF39 221002 19 01R
221002WIF43P 221002 09 01R
221002WIF49Y 221002 13 01R
221002WIF53X 221002 16 01R
221002WIF56T 221002 19 01R
221002WIF5RC 221002 11 01R
221002WIF74J 221002 15 01R
221002WIF78B 221002 20 01R
221002WIF7P 221002 14 01R
221002WIF86X 221002 10 01R
221002WIF88C 221002 12 01R
221002WIF92F 221002 14 01R
221002WIF96H 221002 17 01R
221002WIF9BF 221002 21 01R
221002WIF9XH 221002 20 01R
221002WZZ10AA 221002 06 01L
221002WZZ6810 221002 20 01L
2210034LVIP 221003 16 01R
221003AEE756 221003 14 01L
221003AFR12RQ 221003 14 01L
221003AFR16HG 221003 21 01L
221003AKK2 221003 04 01R
221003ASL24M 221003 06 01L
221003AUA33L 221003 11 01L
221003BAW766 221003 14 01L
221003BEL1EW 221003 20 01L
221003BEL5BP 221003 15 01R
221003BLX27T 221003 15 01L
221003BLX572P 221003 02 01R
221003BLX744P 221003 16 01L
221003BTI15M 221003 16 01L
221003DLH1UV 221003 16 01L
221003DLH1YJ 221003 09 01L
221003DLH3UT 221003 10 01L
221003DLH4LF 221003 21 01L
221003DLH862 221003 13 01L
221003DLH866 221003 07 01L
221003DLH8RJ 221003 16 01L
221003DNU975 221003 05 01L
221003DTR573 221003 12 01R
221003DTR575 221003 17 01R
221003ENT56JX 221003 14 01L
221003ENT582 221003 12 01L
221003ETH714 221003 06 01L
221003EWG7198 221003 09 01L
221003FIN18N 221003 18 01L
221003FIN5KE 221003 05 01L
221003FIN8KM 221003 14 01L
221003FIN9KL 221003 10 01L
221003FOX05S 221003 08 01R
221003FOX15E 221003 07 01R
221003FOX21S 221003 18 01L
221003FOX30B 221003 15 01L
221003FOX35G 221003 08 01R
221003FOX401 221003 07 01L
221003FOX405 221003 12 01R
221003FOX41M 221003 19 01L
221003FOX453 221003 10 01L
221003FOX48W 221003 18 01R
221003FOX503 221003 12 01R
221003FOX51G 221003 05 01L
221003FOX57G 221003 17 01R
221003FOX61T 221003 14 01R
221003FOX63C 221003 14 01L
221003FOX673 221003 07 01R
221003FOX70D 221003 12 01R
221003FOX75D 221003 20 01R
221003FOX77S 221003 14 01R
221003FOX78C 221003 12 01L
221003FOX79D 221003 08 01R
221003FOX8027 221003 12 01R
221003ICE318 221003 10 01R
221003JTD9768 221003 16 01L
221003KLM1141 221003 06 01L
221003KLM1149 221003 16 01L
221003KLM1151 221003 20 01L
221003KLM19J 221003 14 01L
221003KLM29U 221003 09 01L
221003KLM65L 221003 11 01L
221003LBD1 221003 18 01R
221003LGL553M 221003 10 01L
221003LOT4EB 221003 08 01L
221003LOT4YH 221003 16 01L
221003MDT5 221003 06 01L
221003MDT9 221003 08 01R
221003NBT002 221003 10 01L
221003NBT012 221003 15 01L
221003NBT022 221003 07 01L
221003NBT702 221003 12 01L
221003NOZ1011 221003 21 01L
221003NOZ1021 221003 13 01R
221003NOZ1053 221003 12 01L
221003NOZ1061 221003 20 01L
221003NOZ109B 221003 20 01L
221003NOZ1105 221003 14 01R
221003NOZ1151 221003 20 01L
221003NOZ11G 221003 21 01L
221003NOZ11S 221003 14 01R
221003NOZ1257 221003 13 01L
221003NOZ1349 221003 21 01L
221003NOZ1495 221003 12 01R
221003NOZ1551 221003 12 01R
221003NOZ1641 221003 12 01L
221003NOZ1719 221003 22 01R
221003NOZ1793 221003 21 01L
221003NOZ183 221003 08 01L
221003NOZ1869 221003 12 01L
221003NOZ1871 221003 12 01L
221003NOZ191 221003 16 01R
221003NOZ1BG 221003 06 01L
221003NOZ1GP 221003 12 01L
221003NOZ1HC 221003 05 01L
221003NOZ1KD 221003 13 01R
221003NOZ1KV 221003 07 01L
221003NOZ1WC 221003 10 01L
221003NOZ1YE 221003 05 01L
221003NOZ21M 221003 05 01L
221003NOZ23V 221003 08 01R
221003NOZ271 221003 05 01L
221003NOZ277 221003 16 01R
221003NOZ27GE 221003 14 01L
221003NOZ321 221003 11 01R
221003NOZ33B 221003 10 01L
221003NOZ345 221003 09 01L
221003NOZ347 221003 16 01R
221003NOZ367 221003 15 01R
221003NOZ383 221003 17 01R
221003NOZ385 221003 19 01R
221003NOZ3DB 221003 17 01R
221003NOZ3HC 221003 18 01L
221003NOZ3J 221003 15 01R
221003NOZ3PN 221003 16 01L
221003NOZ3QJ 221003 09 01L
221003NOZ3RG 221003 21 01L
221003NOZ3VP 221003 10 01R
221003NOZ403 221003 08 01L
221003NOZ413 221003 15 01R
221003NOZ417 221003 18 01R
221003NOZ41B 221003 14 01R
221003NOZ431 221003 16 01R
221003NOZ4TL 221003 12 01R
221003NOZ51Q 221003 08 01L
221003NOZ521 221003 05 01L
221003NOZ523 221003 06 01L
221003NOZ525 221003 07 01L
221003NOZ531 221003 10 01R
221003NOZ535 221003 13 01R
221003NOZ53Y 221003 12 01L
221003NOZ541 221003 15 01L
221003NOZ543 221003 16 01R
221003NOZ545 221003 17 01R
221003NOZ547 221003 18 01R
221003NOZ55J 221003 19 01R
221003NOZ57GW 221003 14 01L
221003NOZ5AY 221003 07 01R
221003NOZ5MN 221003 12 01L
221003NOZ5PR 221003 15 01R
221003NOZ5PY 221003 16 01R
221003NOZ5VA 221003 22 01R
221003NOZ5VD 221003 14 01L
221003NOZ601 221003 05 01L
221003NOZ605 221003 06 01L
221003NOZ607 221003 06 01L
221003NOZ609 221003 06 01L
221003NOZ611 221003 08 01R
221003NOZ617 221003 10 01R
221003NOZ625 221003 13 01R
221003NOZ631 221003 15 01R
221003NOZ633 221003 15 01L
221003NOZ641 221003 17 01R
221003NOZ643 221003 17 01R
221003NOZ653 221003 19 01R
221003NOZ6EJ 221003 06 01L
221003NOZ6MH 221003 10 01R
221003NOZ77Y 221003 15 01L
221003NOZ7BP 221003 21 01L
221003NOZ7C 221003 07 01L
221003NOZ7WY 221003 16 01L
221003NOZ803 221003 07 01L
221003NOZ805 221003 08 01L
221003NOZ813 221003 11 01L
221003NOZ817 221003 15 01L
221003NOZ81R 221003 13 01L
221003NOZ85T 221003 21 01L
221003NOZ85TA 221003 22 01R
221003NOZ87G 221003 21 01L
221003NOZ8GN 221003 06 01L
221003NOZ91H 221003 13 01R
221003NOZ933 221003 08 01L
221003NOZ93E 221003 17 01L
221003NOZ941 221003 14 01L
221003NOZ949 221003 18 01L
221003NOZ995 221003 15 01R
221003NOZ9EG 221003 19 01R
221003NOZ9JL 221003 21 01L
221003NOZ9PL 221003 07 01L
221003NOZ9T 221003 16 01R
221003NSZ2702 221003 12 01R
221003NSZ3221 221003 06 01L
221003NSZ3225 221003 13 01L
221003NSZ3239 221003 16 01L
221003NSZ3241 221003 19 01R
221003NSZ3KM 221003 09 01R
221003NSZ4103 221003 05 01L
221003NSZ4121 221003 17 01R
221003NSZ5RP 221003 14 01L
221003NWG600 221003 06 01L
221003QTR23V 221003 12 01L
221003QTR8751 221003 14 01R
221003RUK37CG 221003 09 01L
221003RYR1MA 221003 05 01L
221003RYR263W 221003 11 01R
221003SAS1313 221003 05 01L
221003SAS1315 221003 08 01L
221003SAS1321 221003 13 01R
